Pri-miRNA,Type,FC 61.283i,FC 62.289i,FC 62.289k
mmu-let-7b,Autosomal miR,1.18743455331195,1.06443769010909,NA
mmu-let-7c-1,Autosomal miR,1.24118098505522,1.03931681637568,0.671411661499758
mmu-let-7c-2,Autosomal miR,1.2623172158147,0.969723936006654,0.255647619972192
mmu-let-7d,Autosomal miR,1.23211677904691,0.939829201742104,NA
mmu-let-7e,Autosomal miR,1.0424267421324,0.563360571122728,NA
mmu-let-7g,Autosomal miR,1.1952844607277,1.64978039760078,0.817045881042472
mmu-let-7i,Autosomal miR,1.14137233501514,NA,NA
mmu-mir-107,Autosomal miR,1.05002814611343,1.41034292822781,1.33065262864888
mmu-mir-126,Autosomal miR,1.21034891302252,0.67082018248625,NA
mmu-mir-130a,Autosomal miR,1.46357837042739,0.750773950937463,NA
mmu-mir-152,Autosomal miR,1.07036696831955,NA,NA
mmu-mir-15a,Autosomal miR,1.03083755294916,0.6120006116925,0.540316633224936
mmu-mir-16-1,Autosomal miR,1.01546041420146,0.792096440908046,0.599802940471943
mmu-mir-181a-1,Autosomal miR,1.79611160796718,0.989072033154238,NA
mmu-mir-191,Autosomal miR,0.589573260887275,0.4822934091532,NA
mmu-mir-194-1,Autosomal miR,1.09663315724216,1.20089748485536,NA
mmu-mir-22,Autosomal miR,1.33937876469358,1.0794321031998,0.988197971881528
mmu-mir-26a-1,Autosomal miR,1.48694212945743,1.01016327645454,0.520880379554433
mmu-mir-30a,Autosomal miR,1.06067230201352,1.02930639848991,1.03760152134338
mmu-mir-449a,Autosomal miR,0.0518960124406175,NA,NA
mmu-mir-188,X miR,1.21491888972004,0.914677139883263,NA
mmu-mir-201,X miR,1.09084831084074,1.18116335222489,NA
mmu-mir-221,X miR,1.30119167753861,1.58238921681109,NA
mmu-mir-222,X miR,1.09236954667637,NA,NA
mmu-mir-223,X miR,0.944085875222943,1.43193102422424,1.48985817308597
mmu-mir-322,X miR,1.60469654130791,1.20015105528775,1.35919834408821
mmu-mir-362,X miR,1.37451104519462,0.794453122755519,NA
mmu-mir-374,X miR,1.11842033733128,1.02732773549024,NA
mmu-mir-450a-2,X miR,1.22923436056516,NA,NA
mmu-mir-450b,X miR,1.35397302818724,1.10793020465,NA
mmu-mir-452,X miR,1.47442761806052,1.00460892697757,NA
mmu-mir-463,X miR,1.80924464308486,1.99616503236509,1.74916392561172
mmu-mir-465a,X miR,1.61089504401921,2.09301550633833,1.60688423893919
mmu-mir-470,X miR,1.87480623776109,1.26456263777001,NA
mmu-mir-471,X miR,2.32913134711682,2.14221309766379,1.76874981861942
mmu-mir-500,X miR,1.18144871062586,1.01813368115741,NA
mmu-mir-501,X miR,1.0957810047466,1.16594480985303,NA
mmu-mir-503,X miR,1.53335845826151,1.63929841044146,1.97613909796464
mmu-mir-505,X miR,1.54268017863296,1.53838809141098,NA
mmu-mir-509,X miR,1.29654744483314,1.02463103834697,NA
mmu-mir-532,X miR,1.20895119115108,0.905754830576114,NA
mmu-mir-542,X miR,1.40594582068086,NA,NA
mmu-mir-542,X miR,1.23218424991765,NA,NA
mmu-mir-547,X miR,1.43471084296727,0.897446598041135,NA
mmu-mir-672,X miR,1.26348058885956,0.784520743997001,NA
mmu-mir-718,X miR,1.25860231357406,1.16136865358168,NA
mmu-mir-741,X miR,1.37823652854622,1.68968638582726,2.2005375650874
mmu-mir-742,X miR,1.98186130074902,2.52353220806783,1.94010535729509
mmu-mir-743a,X miR,1.93261062748429,1.98968769430915,NA
mmu-mir-743b,X miR,1.86963221754317,1.93959104767866,1.50445765433761
mmu-mir-883a,X miR,1.88941550177871,1.43799633618974,0.748039573464853
mmu-mir-98,X miR,1.47667158168863,1.33209271598106,1.15689264953879
