"ProbeSet Name","HR_14.42l.CEL","p-value (HR_14.42l.CEL)","Detection (HR_14.42l.CEL)","HR_14.42f.CEL","p-value (HR_14.42f.CEL)","Detection (HR_14.42f.CEL)","HR_14.42g.CEL","p-value (HR_14.42g.CEL)","Detection (HR_14.42g.CEL)","HR_14.42h.CEL","p-value (HR_14.42h.CEL)","Detection (HR_14.42h.CEL)","HR_14.42i.CEL","p-value (HR_14.42i.CEL)","Detection (HR_14.42i.CEL)","HR_14.42j.CEL","p-value (HR_14.42j.CEL)","Detection (HR_14.42j.CEL)","HR_14.42k.CEL","p-value (HR_14.42k.CEL)","Detection (HR_14.42k.CEL)"
"cel-let-7_st","11.77906","8.72E-16","TRUE","12.61463","8.72E-16","TRUE","12.67376","8.72E-16","TRUE","12.53231","8.72E-16","TRUE","11.39256","8.72E-16","TRUE","11.77687","8.72E-16","TRUE","11.98882","8.72E-16","TRUE"
"cel-let-7-star_st","0.9546498","0.9814032","FALSE","0.987872","0.9677346","FALSE","1.163099","0.8665322","FALSE","1.189481","0.6359468","FALSE","1.042352","0.8419684","FALSE","2.079964","0.04795872","TRUE","1.501668","0.5094264","FALSE"
"cel-lin-4_st","1.060756","0.8827051","FALSE","1.054507","0.7091434","FALSE","1.424492","0.5680247","FALSE","1.172629","0.9186287","FALSE","1.166564","0.448502","FALSE","1.075762","0.9452673","FALSE","0.9588891","0.6994193","FALSE"
"cel-lin-4-star_st","2.657351","0.1132034","FALSE","2.264691","0.4782493","FALSE","3.713995","0.06368085","FALSE","2.450228","0.2428648","FALSE","1.477579","0.5292397","FALSE","5.14167","0.000356179","TRUE","3.040715","0.06787156","FALSE"
"cel-miR-1_st","1.629727","0.365442","FALSE","1.280256","0.3340966","FALSE","1.276077","0.3568964","FALSE","1.397116","0.4042777","FALSE","1.351959","0.86013","FALSE","1.053669","0.7099962","FALSE","1.194778","0.7713013","FALSE"
"cel-miR-2_st","1.004383","0.9929722","FALSE","1.296032","0.6003132","FALSE","2.062167","0.1036738","FALSE","1.208305","0.7702507","FALSE","1.390053","0.7548193","FALSE","1.819179","0.5218915","FALSE","1.05993","0.7807114","FALSE"
"cel-miR-34_st","3.681742","7.77E-06","TRUE","2.440988","0.05797634","TRUE","2.102659","0.272453","FALSE","2.97491","0.006902115","TRUE","2.178966","0.07951939","FALSE","1.635509","0.9184963","FALSE","2.711234","0.006803399","TRUE"
"cel-miR-34-star_st","2.708271","0.08737071","FALSE","4.09152","0.02231966","TRUE","4.778846","0.002918788","TRUE","4.254734","0.006356875","TRUE","2.279294","0.5118499","FALSE","7.726409","1.70E-11","TRUE","4.506424","0.000385998","TRUE"
"cel-miR-35_st","1.050049","0.7130794","FALSE","0.8964028","0.9805123","FALSE","1.152678","0.9933487","FALSE","1.198417","0.8624704","FALSE","1.506649","0.3450415","FALSE","1.04682","0.9993047","FALSE","1.308986","0.8427137","FALSE"
"cel-miR-36_st","1.180885","0.4579362","FALSE","1.330014","0.219319","FALSE","1.423096","0.5152444","FALSE","1.541172","0.0353878","TRUE","1.620327","0.2023989","FALSE","1.215042","0.7264081","FALSE","1.413445","0.4966045","FALSE"
"cel-miR-37-star_st","1.736016","0.5687836","FALSE","1.600017","0.5723611","FALSE","2.794377","0.317938","FALSE","1.616056","0.8391914","FALSE","2.181876","0.3687879","FALSE","1.851787","0.8926909","FALSE","1.837159","0.7048351","FALSE"
"cel-miR-37_st","1.55839","0.1170482","FALSE","1.396794","0.4781306","FALSE","1.311148","0.8701383","FALSE","1.472783","0.3617218","FALSE","1.776184","0.2834053","FALSE","1.219005","0.9065081","FALSE","1.067779","0.9034581","FALSE"
"cel-miR-38_st","3.294596","0.000368792","TRUE","1.868497","0.2767737","FALSE","1.957646","0.06320453","FALSE","1.795241","0.1211415","FALSE","1.805965","0.1349449","FALSE","1.54983","0.8448384","FALSE","2.163136","0.04628282","TRUE"
"cel-miR-39_st","1.319866","0.9319423","FALSE","1.317742","0.8078513","FALSE","1.234884","0.9874579","FALSE","1.515779","0.8062884","FALSE","1.86101","0.5448986","FALSE","1.037811","0.9910352","FALSE","1.477906","0.6026828","FALSE"
"cel-miR-40_st","2.468978","0.01672798","TRUE","1.90436","0.2514941","FALSE","1.769984","0.2498575","FALSE","1.092161","0.5565118","FALSE","1.595145","0.4256413","FALSE","1.306033","0.7553861","FALSE","1.866699","0.1396218","FALSE"
"cel-miR-41_st","1.586825","0.2828073","FALSE","1.436059","0.4196696","FALSE","1.210748","0.5686035","FALSE","1.292123","0.7790986","FALSE","1.290625","0.8317394","FALSE","0.9953358","0.9733086","FALSE","1.204575","0.8243214","FALSE"
"cel-miR-42-star_st","1.10717","0.8892562","FALSE","0.9578956","0.7201819","FALSE","0.8883323","0.7799062","FALSE","1.365206","0.5653901","FALSE","1.344958","0.5121026","FALSE","0.9193412","0.9994835","FALSE","1.231554","0.6152194","FALSE"
"cel-miR-42_st","1.13776","0.5787507","FALSE","1.330014","0.4635453","FALSE","1.150686","0.9653872","FALSE","1.300841","0.4017432","FALSE","1.237106","0.690555","FALSE","1.13529","0.9731592","FALSE","0.9720999","0.8404345","FALSE"
"cel-miR-43_st","1.578299","0.3580311","FALSE","1.352434","0.7864831","FALSE","1.408064","0.8669657","FALSE","1.376516","0.7016032","FALSE","1.3465","0.6260384","FALSE","1.482018","0.6410736","FALSE","1.298748","0.7183583","FALSE"
"cel-miR-44_st","1.720624","0.3605317","FALSE","1.616886","0.2579913","FALSE","1.817702","0.1458838","FALSE","1.695938","0.07906315","FALSE","1.88635","0.2888579","FALSE","1.162811","0.7995264","FALSE","1.699746","0.1474495","FALSE"
"cel-miR-45_st","1.449501","0.2853401","FALSE","1.655053","0.1244438","FALSE","1.424976","0.4224197","FALSE","1.606238","0.2531694","FALSE","1.505011","0.4976038","FALSE","1.299133","0.6496406","FALSE","1.585453","0.2030486","FALSE"
"cel-miR-46-star_st","1.15298","0.9774895","FALSE","1.01469","0.9549425","FALSE","1.046501","0.9565217","FALSE","1.176744","0.9398152","FALSE","1.57123","0.427512","FALSE","0.9867243","0.9898689","FALSE","0.9848328","0.9917218","FALSE"
"cel-miR-46_st","1.303557","0.9859033","FALSE","1.281726","0.966378","FALSE","1.094101","0.9938119","FALSE","1.103628","0.9470783","FALSE","1.529034","0.7678578","FALSE","1.348074","0.7269834","FALSE","1.256654","0.8017293","FALSE"
"cel-miR-47-star_st","1.914404","0.08904749","FALSE","1.819869","0.127178","FALSE","1.526005","0.4323855","FALSE","1.55587","0.4478255","FALSE","2.233484","0.1150532","FALSE","1.267865","0.8022894","FALSE","1.194685","0.3565817","FALSE"
"cel-miR-47_st","1.257921","0.8364606","FALSE","1.436059","0.5239601","FALSE","1.16367","0.8803524","FALSE","1.279792","0.7456387","FALSE","1.238475","0.8012736","FALSE","1.189294","0.9894565","FALSE","1.162681","0.6813633","FALSE"
"cel-miR-48_st","1.79264","0.5227861","FALSE","1.770112","0.4532717","FALSE","1.524153","0.9906442","FALSE","2.01561","0.3982469","FALSE","1.342934","0.8692198","FALSE","1.400683","0.9990784","FALSE","1.319845","0.9675099","FALSE"
"cel-miR-48-star_st","2.812476","0.08336946","FALSE","1.736794","0.553908","FALSE","3.253906","0.06344964","FALSE","1.724278","0.3719711","FALSE","1.852609","0.641338","FALSE","4.410729","0.005797141","TRUE","2.892769","0.008682895","TRUE"
